mo,dy,yr,season,site,trap,species,sex,reprod,age,testes,vagina,pregnant,nipples,lactation,hfl,wgt,recap,escape,dead,extraneous,note
4,4,2024,Spring,DRX,B8,DM,M,Z,,,,,,,37,44,,,,,
4,4,2024,Spring,DRX,D1,CP,M,Z,,,,,,,21,19,,,,,
4,4,2024,Spring,STR,D1,SA,F,,,,,,B,,30,102,,,,,
4,4,2024,Spring,STR,A4,SA,M,Z,,,,,,,30,151,,,,,
4,4,2024,Spring,STR,A7,RF,M,,,S,,,,,17,14,,,,,
4,5,2024,Spring,DRX,B9,DM,F,Z,,,,,,,36,48,,,,,
4,5,2024,Spring,DRX,A0,SA,F,,,,,P,B,,29,140,,,,,
4,5,2024,Spring,STR,A5,SA,M,Z,,,,,,,31,170,,,,,
4,5,2024,Spring,STR,D3,SA,F,,,,,,B,,29,105,R,,,,
4,6,2024,Spring,DRX,D2,CP,M,Z,,,,,,,21,17,R,,,,
4,6,2024,Spring,DRX,A1,CP,M,Z,,,,,,,21,13,,,,,
4,6,2024,Spring,DRX,A5,DM,F,Z,,,,,,,36,42,R,,,,
4,6,2024,Spring,DRX,A8,DM,F,,,,,,B,,36,46,,,,,
4,6,2024,Spring,DRX,A9,DM,M,Z,,,,,,,36,42,,,,,
4,6,2024,Spring,STR,A5,SA,,,,,,,,,31,145,R,,,,
4,6,2024,Spring,STR,A6,CP,M,Z,,,,,,,,,,E,,,
4,6,2024,Spring,STR,A7,RF,F,Z,,,,,,,17,8,,,,,
4,6,2024,Spring,STR,D6,CP,,,,,,,,,,,,,,,
10,23,2024,Fall,DRX,D6,CP,M,Z,,,,,,,22,15,,,,,
10,23,2024,Fall,DRX,C9,CP,F,Z,,,,,,,20,9,,,,,
10,23,2024,Fall,DRX,C7,CP,M,Z,,,,,,,21,10,,,,,
10,23,2024,Fall,STR,A4,SA,M,Z,,,,,,,31,67,,,,,unmarked
10,23,2024,Fall,STR,A8,SA,F,Z,,,,,,,33,101,,,,,
10,23,2024,Fall,STR,B9,SA,F,Z,,,,,,,30,58,,,,,
10,23,2024,Fall,STR,B4,SA,M,Z,,,,,,,33,105,,,,,
10,23,2024,Fall,STR,B3,SA,F,Z,,,,,,,29,58,,,,,
10,23,2024,Fall,STR,D0,SA,M,Z,,,,,,,35,184,R,,,,"no haircut, sharpie mark"
10,23,2024,Fall,STR,D1,SA,F,Z,,,,,,,33,99,,,,,
10,23,2024,Fall,STR,C8,SA,F,Z,,,,,,,32,104,,,,,no sharpie
10,23,2024,Fall,STR,D7,SA,F,Z,,,,,,,32,97,,,,,
10,23,2024,Fall,STR,D6,SA,F,Z,,,,,,,33,87,,,,,no sharpie
10,23,2024,Fall,STR,D4,SA,F,Z,,,,,,,31,72,,,,,
10,23,2024,Fall,STR,D3,SA,,,,,,,,,,,,E,,,
10,24,2024,Fall,DRX,D6,CP,M,Z,,,,,,,22,15,R,,,,
10,24,2024,Fall,DRX,C9,CP,F,Z,,,,,,,20,9,R,,,,
10,24,2024,Fall,DRX,B0,SA,F,Z,,,,,,,29,71,,,,,
10,24,2024,Fall,DRX,B9,PE,F,,J,,,,,,22,16,,,,,
10,24,2024,Fall,DRX,A9,DM,M,,,R,,,,,34,44,,,,,
10,24,2024,Fall,DRX,A8,DM,M,,,R,,,,,36,42,,,,,
10,24,2024,Fall,STR,A4,SA,F,Z,,,,,,,31,86,,,,,
10,24,2024,Fall,STR,A5,SA,M,Z,,,,,,,31,63,,,,,
10,24,2024,Fall,STR,A6,SA,M,,J,,,,,,26,36,,,,,
10,24,2024,Fall,STR,A9,SA,M,Z,,,,,,,34,115,,,,,
10,24,2024,Fall,STR,B9,SA,F,Z,,,,,,,,,,E,,,
10,24,2024,Fall,STR,B5,SA,M,Z,,,,,,,31,104,,,,,
10,24,2024,Fall,STR,B4,SA,M,Z,,,,,,,30,74,,,,,
10,24,2024,Fall,STR,B3,SA,M,Z,,,,,,,,104,R,,,,
10,24,2024,Fall,STR,D0,SA,,,,,,,,,,,R,,,,
10,24,2024,Fall,STR,D1,SA,M,Z,,,,,,,33,102,,,,,
10,24,2024,Fall,STR,D2,SA,F,Z,,,,,,,31,97,,,,,
10,24,2024,Fall,STR,D3,SA,F,Z,,,,,,,32,143,,,,,
10,24,2024,Fall,STR,D4,SA,,,,,,,,,,,R,,,,
10,24,2024,Fall,STR,D6,SA,,,,,,,,,,83,R,,,,
10,24,2024,Fall,STR,D7,SA,M,Z,,,,,,,34,116,,,,,no sharpie
10,24,2024,Fall,STR,D8,SA,F,Z,,,,,,,33,106,,,,,
10,24,2024,Fall,STR,D9,SA,F,,J,,,,,,27,30,,,,,
10,24,2024,Fall,STR,C8,SA,M,Z,,,,,,,32,74,,,,,
10,24,2024,Fall,STR,C9,SA,F,Z,,,,,,,27,47,,,,,
10,24,2024,Fall,STR,C7,SA,M,Z,,,,,,,30,68,,,,,
10,24,2024,Fall,STR,C6,SA,F,Z,,,,,,,30,78,,,,,
10,24,2024,Fall,STR,C5,SA,M,Z,,,,,,,35,170,,,,,
10,24,2024,Fall,STR,C3,SA,F,Z,,,,,,,31,74,,,,,
10,25,2024,Fall,DRX,C9,DM,F,,,,,,E,,34,40,,,,,
10,25,2024,Fall,DRX,B0,SA,M,Z,,,,,,,,116,,E,,,
10,25,2024,Fall,DRX,A0,SA,F,Z,,,,,,,29,140,,,,,
10,25,2024,Fall,DRX,A6,CP,M,Z,,,,,,,22,11,,,,,
10,25,2024,Fall,DRX,A7,DM,M,,,R,,,,,35,39,,,,,
10,25,2024,Fall,DRX,A8,DM,F,Z,,,,,,,36,40,,,,,
10,25,2024,Fall,DRX,B9,CP,F,,,,,,,,,,R,,,,
10,25,2024,Fall,STR,A3,SA,F,Z,,,,,,,34,148,,,,,
10,25,2024,Fall,STR,A4,SA,M,Z,,,,,,,31,74,,,,,
10,25,2024,Fall,STR,A5,SA,F,,J,,,,,,25,30,,,,,
10,25,2024,Fall,STR,A6,SA,M,Z,,,,,,,30,48,,,,,
10,25,2024,Fall,STR,A8,SA,,,,,,,,,,92,R,,,,
10,25,2024,Fall,STR,A9,SA,F,Z,,,,,,,27,54,,,,,
10,25,2024,Fall,STR,B9,SA,M,Z,,,,,,,28,59,,,,,
10,25,2024,Fall,STR,B7,SA,M,Z,,,,,,,33,79,,,,,
10,25,2024,Fall,STR,B3,SA,F,,,,,,E,,33,137,,,,,
10,25,2024,Fall,STR,D0,SA,,,,,,,,,,,R,,,,
10,25,2024,Fall,STR,D1,SA,,,,,,,,,,135,R,,,,
10,25,2024,Fall,STR,D2,SA,,,,,,,,,,,R,,,,
10,25,2024,Fall,STR,D3,SA,F,Z,,,,,,,30,83,,,,,
10,25,2024,Fall,STR,D4,SA,M,Z,,,,,,,29,86,,,,,
10,25,2024,Fall,STR,D6,SA,,,,,,,,,,,R,,,,
10,25,2024,Fall,STR,D7,SA,M,Z,,,,,,,31,155,,,,,
10,25,2024,Fall,STR,D8,SA,,,,,,,,,,,R,,,,
10,25,2024,Fall,STR,D9,SA,M,Z,,,,,,,30,77,,,,,
10,25,2024,Fall,STR,C5,SA,,,,,,,,,,,R,,,,
10,25,2024,Fall,STR,C4,SA,F,Z,,,,,,,31,65,,,,,
10,25,2024,Fall,STR,C2,SA,M,Z,,,,,,,33,84,,,,,
10,25,2024,Fall,STR,C1,SA,F,Z,,,,,,,30,134,,,,,
4,9,2025,Spring,DRX,A5,CP,M,Z,,,,,,,22,,R,,,,
4,9,2025,Spring,DRX,B8,DM,F,,,,S,,R,,36,,,,,,
4,10,2025,Spring,DRX,D7,CP,M,Z,,,,,,,22,13,,,,,
4,10,2025,Spring,DRX,A6,DM,F,,,,,,R,,34,34,,,,,
4,10,2025,Spring,DRX,A7,CP,M,,,M,,,,,,,R,,,,
4,11,2025,Spring,DRX,D6,CP,M,Z,,,,,,,22,13,R,,,,
4,11,2025,Spring,DRX,A9,DM,F,Z,,,,,,,36,41,R,,,,
4,11,2025,Spring,DRX,A5,CP,F,,,,,,,,,,,E,,,
10,2,2025,Fall,STR,B2,PE,M,,J,,,,,,21,20,,,,,
10,2,2025,Fall,STR,B7,SA,M,Z,,,,,,,,142,,E,,,
10,2,2025,Fall,STR,B9,SA,M,Z,,,,,,,33,182,,,,,
10,2,2025,Fall,STR,D0,SA,M,Z,,,,,,,30,165,,,,,
10,2,2025,Fall,STR,C0,SA,F,,,,,P,B,,31,150,,,,,
10,2,2025,Fall,STR,C1,RF,F,Z,,,,,,,18,,,E,,,
10,2,2025,Fall,STR,C3,SA,M,Z,,,,,,,33,196,,,,,
10,2,2025,Fall,STR,C6,SA,M,Z,,,,,,,31,119,,,,,
