mo,dy,yr,season,site,trap,grass_short,scrub_short,riparian_short,bare,water,trash,grass_tall,scrub_tall,riparian_tall
10,4,2025,Fall,DRX,D0,15,15,0,70,0,0,0,0,0
10,4,2025,Fall,DRX,D1,5,35,0,60,0,0,0,15,0
10,4,2025,Fall,DRX,D2,0,5,0,95,0,0,0,2,0
10,4,2025,Fall,DRX,D3,0,0,0,100,0,0,0,0,0
10,4,2025,Fall,DRX,D5,5,0,0,95,0,0,0,0,0
10,4,2025,Fall,DRX,D6,15,1,0,84,0,0,0,3,0
10,4,2025,Fall,DRX,D7,2,5,0,93,0,0,0,0,0
10,4,2025,Fall,DRX,D8,2,0,0,98,0,0,0,0,0
10,4,2025,Fall,DRX,D4,0,0,0,100,0,0,0,0,0
10,4,2025,Fall,DRX,D9,5,0,0,95,0,0,0,0,0
10,4,2025,Fall,DRX,C9,20,0,0,80,0,0,0,0,0
10,4,2025,Fall,DRX,C8,2,0,0,98,0,0,0,0,0
10,4,2025,Fall,DRX,C7,1,1,0,98,0,0,0,0,0
10,4,2025,Fall,DRX,C6,1,5,0,94,0,0,0,0,0
10,4,2025,Fall,DRX,C5,2,1,0,97,0,0,0,0,0
10,4,2025,Fall,DRX,C4,10,1,0,89,0,0,0,0,0
10,4,2025,Fall,DRX,C3,10,40,0,50,0,0,0,15,0
10,4,2025,Fall,DRX,C2,0,40,0,60,0,0,0,10,0
10,4,2025,Fall,DRX,C1,0,0,0,100,0,0,0,0,0
10,4,2025,Fall,DRX,C0,2,5,0,93,0,0,0,0,0
10,4,2025,Fall,DRX,B0,25,5,0,20,0,0,15,5,0
10,4,2025,Fall,DRX,B1,15,0,0,85,0,0,1,1,0
10,4,2025,Fall,DRX,B2,15,0,0,85,0,0,0,0,0
10,4,2025,Fall,DRX,B3,30,0,0,70,0,0,0,0,0
10,4,2025,Fall,DRX,B4,0,0,0,100,0,0,0,0,0
10,4,2025,Fall,DRX,B5,1,0,0,99,0,0,0,0,0
10,4,2025,Fall,DRX,B6,35,0,0,65,0,0,0,0,0
10,4,2025,Fall,DRX,B7,10,5,0,85,0,0,0,0,0
10,4,2025,Fall,DRX,B8,10,10,0,80,0,0,0,10,0
10,4,2025,Fall,DRX,B9,10,20,0,70,0,0,0,10,0
10,4,2025,Fall,DRX,A9,40,0,0,60,0,0,0,0,0
10,4,2025,Fall,DRX,A8,5,0,0,95,0,0,0,0,0
10,4,2025,Fall,DRX,A7,0,15,0,85,0,0,0,0,0
10,4,2025,Fall,DRX,A6,5,0,0,90,0,0,0,0,0
10,4,2025,Fall,DRX,A5,15,5,0,80,0,0,0,0,0
10,4,2025,Fall,DRX,A4,5,0,0,95,0,0,0,0,0
10,4,2025,Fall,DRX,A3,10,0,0,90,0,0,0,0,0
10,4,2025,Fall,DRX,A2,5,0,0,95,0,0,0,0,0
10,4,2025,Fall,DRX,A1,30,0,0,70,0,0,0,0,0
10,4,2025,Fall,DRX,A0,90,0,0,10,0,0,0,0,0
10,4,2025,Fall,STR,A0,0,0,0,100,0,0,0,0,0
10,4,2025,Fall,STR,A1,0,20,0,80,0,0,0,5,0
10,4,2025,Fall,STR,A2,0,0,0,100,0,0,0,0,0
10,4,2025,Fall,STR,A3,0,20,0,80,0,0,0,0,0
10,4,2025,Fall,STR,A4,25,0,0,75,0,0,0,0,0
10,4,2025,Fall,STR,A5,0,0,0,100,0,0,0,0,0
10,4,2025,Fall,STR,A6,85,0,0,15,0,0,0,0,0
10,4,2025,Fall,STR,A7,90,0,0,10,0,0,0,5,0
10,4,2025,Fall,STR,A8,15,0,0,85,0,0,10,0,0
10,4,2025,Fall,STR,A9,50,0,0,50,0,0,0,0,0
10,4,2025,Fall,STR,B9,50,0,10,40,0,0,0,0,5
10,4,2025,Fall,STR,B8,20,15,0,0,0,0,0,10,0
10,4,2025,Fall,STR,B7,50,0,0,50,0,0,20,0,0
10,4,2025,Fall,STR,B6,75,0,0,25,0,0,15,5,0
10,4,2025,Fall,STR,B5,35,0,0,65,0,0,5,0,0
10,4,2025,Fall,STR,B4,80,10,0,10,0,0,40,5,0
10,4,2025,Fall,STR,B3,20,0,0,80,0,0,15,0,0
10,4,2025,Fall,STR,B2,20,0,0,80,0,0,15,0,0
10,4,2025,Fall,STR,B1,10,0,0,90,0,0,5,0,0
10,4,2025,Fall,STR,B0,45,5,0,50,0,0,45,5,0
10,4,2025,Fall,STR,C9,40,0,10,50,0,0,0,0,50
10,4,2025,Fall,STR,C8,0,0,100,0,0,0,0,0,10
10,4,2025,Fall,STR,C7,50,0,45,5,0,0,0,0,15
10,4,2025,Fall,STR,C6,0,0,90,10,0,0,0,0,10
10,4,2025,Fall,STR,C5,30,30,5,35,0,0,0,15,0
10,4,2025,Fall,STR,C4,10,0,30,60,0,0,0,0,10
10,4,2025,Fall,STR,C3,20,10,0,70,0,0,0,10,0
10,4,2025,Fall,STR,C2,10,10,30,50,0,0,0,5,5
10,4,2025,Fall,STR,C1,60,0,5,5,0,30,5,0,5
10,4,2025,Fall,STR,C0,80,0,0,20,0,0,5,0,0
10,4,2025,Fall,STR,D0,30,0,50,20,0,0,0,0,20
10,4,2025,Fall,STR,D1,50,25,5,20,0,0,0,10,5
10,4,2025,Fall,STR,D2,75,0,15,10,0,0,0,0,15
10,4,2025,Fall,STR,D3,25,0,70,5,0,0,0,0,70
10,4,2025,Fall,STR,D4,65,0,15,20,0,0,0,0,15
10,4,2025,Fall,STR,D5,40,25,30,5,0,0,0,10,10
10,4,2025,Fall,STR,D6,10,0,60,30,0,0,0,0,60
10,4,2025,Fall,STR,D7,40,0,10,50,0,0,0,0,10
10,4,2025,Fall,STR,D8,40,0,40,20,0,0,0,0,40
10,4,2025,Fall,STR,D9,50,0,40,10,0,0,0,0,50
10,31,2025,Fall,SUN,A9,0,15,0,85,0,0,0,5,0
10,31,2025,Fall,SUN,A8,0,50,0,50,0,0,0,10,0
10,31,2025,Fall,SUN,A7,5,0,0,95,0,0,0,0,0
10,31,2025,Fall,SUN,A6,5,80,0,15,0,0,0,0,0
10,31,2025,Fall,SUN,A5,0,10,0,90,0,0,0,10,0
10,31,2025,Fall,SUN,A4,0,0,0,100,0,0,0,0,30
10,31,2025,Fall,SUN,A3,0,10,0,90,0,0,0,5,0
10,31,2025,Fall,SUN,A2,0,5,0,95,0,0,0,20,0
10,31,2025,Fall,SUN,A1,0,50,0,50,0,0,0,50,0
10,31,2025,Fall,SUN,A0,0,10,0,90,0,0,0,40,0
10,31,2025,Fall,SUN,B9,0,0,90,10,0,0,0,0,10
10,31,2025,Fall,SUN,B8,10,5,35,50,0,0,0,10,0
10,31,2025,Fall,SUN,B7,0,0,0,100,0,0,0,0,90
10,31,2025,Fall,SUN,B6,0,0,20,80,0,0,0,0,80
10,31,2025,Fall,SUN,B5,20,0,5,65,0,0,0,0,80
10,31,2025,Fall,SUN,B4,5,0,35,60,0,0,0,0,70
10,31,2025,Fall,SUN,B3,0,0,100,0,0,0,0,0,90
10,31,2025,Fall,SUN,B2,0,0,45,5,50,0,0,0,100
10,31,2025,Fall,SUN,B1,0,0,70,20,10,0,0,0,75
10,31,2025,Fall,SUN,B0,0,0,80,20,0,0,0,0,50
10,31,2025,Fall,SUN,C9,0,0,80,20,0,0,0,0,10
10,31,2025,Fall,SUN,C8,0,0,80,20,0,0,0,0,45
10,31,2025,Fall,SUN,C7,0,0,80,20,0,0,0,0,25
10,31,2025,Fall,SUN,C6,0,0,35,65,0,0,0,0,80
10,31,2025,Fall,SUN,C5,0,0,50,50,0,0,0,0,75
10,31,2025,Fall,SUN,C4,25,0,50,25,0,0,0,0,95
10,31,2025,Fall,SUN,C3,0,0,80,20,0,0,0,0,70
10,31,2025,Fall,SUN,C2,15,0,60,25,0,0,0,0,80
10,31,2025,Fall,SUN,C1,0,0,40,60,0,0,0,0,30
10,31,2025,Fall,SUN,C0,0,0,75,25,0,0,0,0,25
10,31,2025,Fall,SUN,D9,0,35,0,65,0,0,0,5,0
10,31,2025,Fall,SUN,D8,0,35,0,65,0,0,0,5,0
10,31,2025,Fall,SUN,D7,0,35,0,65,0,0,0,0,25
10,31,2025,Fall,SUN,D6,0,50,0,50,0,0,0,20,0
10,31,2025,Fall,SUN,D5,0,20,0,80,0,0,0,80,0
10,31,2025,Fall,SUN,D4,0,25,0,75,0,0,0,0,0
10,31,2025,Fall,SUN,D3,0,25,0,75,0,0,0,0,0
10,31,2025,Fall,SUN,D2,0,15,0,85,0,0,0,0,0
10,31,2025,Fall,SUN,D1,0,45,0,55,0,0,0,5,0
10,31,2025,Fall,SUN,D0,0,25,0,75,0,0,0,0,0
