"","site","trap","DM","CP","PE","SA","RF","NL","grass_short","scrub_short","riparian_short","bare","water","trash","grass_tall","scrub_tall","riparian_tall"
"1","DRX","A6",1,0,0,0,0,0,5,0,0,90,0,0,0,0,0
"2","DRX","A7",1,0,0,0,0,0,0,15,0,85,0,0,0,0,0
"3","DRX","A8",0,1,0,0,0,0,5,0,0,95,0,0,0,0,0
"4","DRX","B4",1,0,0,0,0,0,0,0,0,100,0,0,0,0,0
"5","DRX","B7",1,0,0,0,0,0,10,5,0,85,0,0,0,0,0
"6","DRX","D1",1,0,0,0,0,0,5,35,0,60,0,0,0,15,0
"7","DRX","D2",1,0,0,0,0,0,0,5,0,95,0,0,0,2,0
"8","DRX","D3",1,0,0,0,0,0,0,0,0,100,0,0,0,0,0
"9","DRX","D7",1,0,0,0,0,0,2,5,0,93,0,0,0,0,0
"10","DRX","D8",1,0,0,0,0,0,2,0,0,98,0,0,0,0,0
"11","DRX","D9",1,0,0,0,0,0,5,0,0,95,0,0,0,0,0
"12","STR","A1",0,0,1,0,0,0,0,20,0,80,0,0,0,5,0
"13","STR","A7",0,1,0,1,0,0,90,0,0,10,0,0,0,5,0
"14","STR","B2",0,0,1,0,0,0,20,0,0,80,0,0,15,0,0
"15","STR","B5",0,0,1,1,0,0,35,0,0,65,0,0,5,0,0
"16","STR","B7",0,0,0,1,0,0,50,0,0,50,0,0,20,0,0
"17","STR","B8",0,0,0,1,0,0,20,15,0,0,0,0,0,10,0
"18","STR","B9",0,0,0,1,0,0,50,0,10,40,0,0,0,0,5
"19","STR","C0",0,0,0,1,0,0,80,0,0,20,0,0,5,0,0
"20","STR","C1",0,0,0,1,1,0,60,0,5,5,0,30,5,0,5
"21","STR","C2",0,0,0,1,0,0,10,10,30,50,0,0,0,5,5
"22","STR","C3",0,0,0,1,0,0,20,10,0,70,0,0,0,10,0
"23","STR","C4",0,0,0,1,0,0,10,0,30,60,0,0,0,0,10
"24","STR","C5",0,0,0,1,0,0,30,30,5,35,0,0,0,15,0
"25","STR","C6",0,0,0,1,0,0,0,0,90,10,0,0,0,0,10
"26","STR","C7",0,0,0,1,0,0,50,0,45,5,0,0,0,0,15
"27","STR","C8",0,0,0,1,0,0,0,0,100,0,0,0,0,0,10
"28","STR","D0",0,0,0,1,0,0,30,0,50,20,0,0,0,0,20
"29","STR","D1",0,0,0,1,0,0,50,25,5,20,0,0,0,10,5
"30","STR","D2",0,0,0,1,0,0,75,0,15,10,0,0,0,0,15
"31","STR","D3",0,0,0,1,0,0,25,0,70,5,0,0,0,0,70
"32","STR","D4",0,0,0,1,0,0,65,0,15,20,0,0,0,0,15
"33","STR","D5",0,0,0,1,0,0,40,25,30,5,0,0,0,10,10
"34","STR","D6",0,0,0,1,0,0,10,0,60,30,0,0,0,0,60
"35","STR","D7",0,0,0,1,0,0,40,0,10,50,0,0,0,0,10
"36","STR","D8",0,0,0,1,0,0,40,0,40,20,0,0,0,0,40
"37","SUN","A1",0,0,1,0,0,0,0,50,0,50,0,0,0,50,0
"38","SUN","A3",0,0,0,0,0,1,0,10,0,90,0,0,0,5,0
"39","SUN","A6",0,0,1,1,0,0,5,80,0,15,0,0,0,0,0
"40","SUN","A7",0,0,1,0,0,1,5,0,0,95,0,0,0,0,0
"41","SUN","A8",0,0,0,0,0,1,0,50,0,50,0,0,0,10,0
"42","SUN","B0",0,0,1,0,0,0,0,0,80,20,0,0,0,0,50
"43","SUN","B2",0,0,0,1,0,1,0,0,45,5,50,0,0,0,100
"44","SUN","B3",0,0,0,0,0,1,0,0,100,0,0,0,0,0,90
"45","SUN","B6",0,0,1,0,0,0,0,0,20,80,0,0,0,0,80
"46","SUN","C0",0,0,0,0,0,1,0,0,75,25,0,0,0,0,25
"47","SUN","C1",0,0,0,1,0,0,0,0,40,60,0,0,0,0,30
"48","SUN","C5",0,0,0,0,0,1,0,0,50,50,0,0,0,0,75
"49","SUN","C8",0,0,0,1,0,0,0,0,80,20,0,0,0,0,45
"50","SUN","D1",0,0,1,0,0,0,0,45,0,55,0,0,0,5,0
"51","SUN","D2",0,0,0,0,0,1,0,15,0,85,0,0,0,0,0
"52","SUN","D4",0,0,0,0,0,1,0,25,0,75,0,0,0,0,0
"53","SUN","D6",0,0,1,0,0,0,0,50,0,50,0,0,0,20,0
"54","SUN","D7",0,0,1,0,0,0,0,35,0,65,0,0,0,0,25
